Regulated Donee,Donor,Donation Type,Date Accepted,Date Reported,Measure Names,Destination,Nature Of Donation,Position Standing For,Purpose Of Visit,Value
Abisola Ifasawo,Conservative Friends of Israel Ltd,Visit,02/04/2017,28/04/2017,Value,Israel and the West Bank,,,Fact finding political delegation to Israel and the West Bank,"£1,650.00"
Adam Afriyie,The GTNF Trust,Visit,27/09/2022,20/10/2022,Value,"Georgetown, USA",,,To attend and speak at a conference.,"£10,338.00"
Adam Afriyie,The GTNF Trust,Visit,18/09/2023,06/10/2023,Value,"Seoul, South Korea.",,,Speech and panel on the UK legislative environment.,"£8,384.88"
Adam Holloway MP,All Party Parliamentary Group,Visit,17/03/2012,16/04/2012,Value,Japan,,,"to promote relations between parliamentarians in Westminster and the Diet, to promote trade and to look at the tsunami affected area.","£2,000.00"
Adam Holloway MP,Conservative Middle East Council,Visit,26/02/2009,01/03/2009,Value,"Israel, Gaza, West Bank",,,Increasing understanding of Arab-Israeli conflict,"£1,750.00"
Adam Holloway MP,Conservative Middle East Council,Visit,19/04/2011,14/06/2011,Value,"Benghazi, Libya",,,To visit rebel held territory and the front line area at Ajdabiya,"£2,000.00"
Adam Holloway MP,Conservative Middle East Council,Visit,30/08/2011,16/04/2012,Value,"Tripoli, Libya",,,to look at the situation in the immediate aftermath of the collapse of the regime.,"£2,000.00"
Adam Holloway MP,Government of Japan,Visit,17/03/2012,16/04/2012,Value,Japan,,,"to promote relations between parliamentarians in Westminster and the Diet, to promote trade and to look at the tsunami affected area.","£2,500.00"
Adam Holloway MP,Government of United Arab Emirates,Visit,14/11/2008,01/12/2008,Value,United Arab Emirates,,,To meet Government representatives.,"£7,000.00"
Adam Holloway MP,Great Britain-China Centre,Visit,17/09/2010,01/10/2010,Value,"Beijing, Shanghai",,,Attend fourth UK-China Leadership forum.,"£4,091.00"
Adam Holloway MP,Kingdom of Bahrain Ministry of Foreign Affairs,Visit,18/11/2021,14/12/2021,Value,Bahrain,,,Parliamentary delegation to the IISS Manama Dialogue 2021 to understand the Middle East's most pressing security challenges.,"£5,349.00"
Adam Holloway MP,Kurdish Democratic Party,Visit,11/06/2012,21/08/2012,Value,Northern Iraq,,,To view progress since the 2003 invasion of Iraq.,"£2,500.00"
Adam Holloway MP,Mr Julian Schild,Cash,18/03/2004,01/04/2004,Value,,,,,"£2,000.00"
Adam Holloway MP,Mr Michael Hintze,Visit,11/10/2008,01/11/2008,Value,Afghanistan,,,To establish security and political situation.,"£1,500.00"
Adam Holloway MP,Qatari Government,Visit,07/05/2011,14/06/2011,Value,"Doha, Qatar",,,To attend the Doha Forum on International Affairs,"£4,000.00"
Adam Holloway MP,Qatari Government,Visit,16/02/2020,17/03/2020,Value,Qutar,,,"British-Qatar APPG visit to meet Ministers and officials, discuss the Gulf Cooperation Council crisis, Workers’ rights, bilateral relations and regional issues.","£2,740.00"
Adam Ingram,BAA Plc,Non Cash,17/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
Adam Price MP,BAA Plc,Non Cash,30/08/2001,01/09/2001,Value,,Travel,,,"£5,245.20"
Adam Price MP,Manchester Airport Plc,Non Cash,30/08/2001,01/09/2001,Value,,Travel,,,"£5,100.00"
Adam Price MP,Plaid Cymru Camarthen East and Dinefwr,Cash,02/10/2018,25/10/2018,Value,,,,,"£3,000.00"
Adrian Bailey MP,Industry and Parliament Trust,Visit,07/11/2012,23/11/2012,Value,"Shanghai, China",,,"Appraisal of GKN operations in Auto and aircraft supply industry in China
and appraisal of British business opportunities at British Chamber of Commerce Annual
awards for business in China.","£4,973.39"
Adrian Sanders MP,International Diabetes Federation,Visit,30/11/2013,17/12/2013,Value,"Melbourne, Australia",,,"To attend and speak at the Global Parliamentary Forum for Diabetes on 1 and 2 December, and to attend and speak at the International Diabetes Congress on 3 and 4 December 2013.","£3,000.00"
Adrian Sanders MP,The Qatari Foundation,Visit,18/02/2015,02/03/2015,Value,"Doha, Qatar",,,Attend the World Innovation in Health Summit,"£2,500.00"
Afzal Amin,Conservative Friends of Israel,Visit,29/06/2014,31/07/2014,Value,Israel,,,Political delegation to Israel and the Palestinian territories.,"£1,600.00"
Afzal Khan," Zenap Kartak",Visit,08/07/2017,13/02/2019,Value,"Instanbul, Turkey",,,To meet with officials and the President.,"£1,800.00"
Afzal Khan,Aid to the Church in Need,Visit,02/01/2019,13/02/2019,Value,Lebanon,,,"APPG on International Freedom of Religion or Belief visit to UNCHR activities and refugee camps, including meetings with government officials.","£2,523.00"
Afzal Khan,Aziz Foundation,Non Cash,11/09/2023,11/09/2023,Value,,Staff costs,,,"£18,414.00"
Afzal Khan,Islamic Relief UK,Visit,23/09/2023,30/10/2023,Value,Pakistan.,,,Visit areas affected by 2022 flooding.,"£1,752.88"
Afzal Khan,Teebah Foundation,Visit,15/09/2019,20/12/2019,Value,Kashmir,,,To visit the victims of the earthquake; promote tourism in Kashmir.,"£1,710.00"
Afzal Khan,The Concordia Network,Visit,08/09/2022,07/10/2022,Value,"Austin, Texas, USA",,,To participate in a leadership programme.,"£3,720.47"
Afzal Khan,The Concordia Network,Visit,12/10/2023,30/10/2023,Value,Spain.,,,Attend the Annual Concordia Retreat hosted by the Concordia Forum.,"£3,035.79"
Aidan Burley MP,High Commission of the Maldives,Visit,29/05/2013,09/07/2013,Value,Maldives,,,"To meet with President and Vice President of the Maldives to discuss human rights issues in the Maldives, and to meet with local MPs and councillors to discuss elections and electoral reform.","£2,400.00"
Aidan Burley MP,Sri Lankan High Commission,Visit,30/07/2012,03/09/2012,Value,Sri Lanka,,,"Delegation to Sri Lanka to see progress made with post war reconstruction
and reconciliation. This involved meetings with Government Ministers and opposition MPs
and the British High Commission, and visits to reconstruction works in Jaffna, Kilinochi and
T","£3,200.00"
Aidan Burley MP,Sri Lankan High Commission,Visit,22/05/2013,09/07/2013,Value,Sri Lanka,,,"To meet Government Ministers, Opposition MPs, business figures and the Sri Lankan High Commission in advance of the Commonwealth Heads of Government conference (CHOGM) later this year.","£5,800.00"
Aisling Reilly,American Council of Young Political Leaders,Visit,15/03/2023,19/06/2023,Value,"Washington DC, Alabama, USA",,,"An exchange programme to build relationships and share knowledge between political, business and civic society leaders in the USA","£3,557.00"
Aisling Reilly,STARS (Striving Towards a Restorative Society) - Funded Through,Visit,08/10/2023,25/10/2023,Value,"Boston, MA",,,"A conference in Boston University hosted by the Arts & Sciences (Women's, Gender & Sexuality studies programme) where gendered and grassroots approaches to peace and conflict where the topics discussed 25 years on from the Good Friday Agreement.","£1,895.62"
Alan Brown,"Ministry of Foreign Affairs, Qatar",Visit,14/02/2017,24/02/2017,Value,Qatar,,,"British-Qatar APPG visit to meet Ministers, officials, visit world cup sites to discuss issues of bilateral relations and regional crises, world cup preparations and the rights of migrant workers.","£5,100.00"
Alan Johnson MP,A A Care Homes,Cash,28/03/2007,01/04/2007,Value,,,,,"£1,660.00"
Alan Johnson MP,AA Care Homes,Cash,23/06/2007,01/07/2007,Value,,,,,"£1,500.00"
Alan Johnson MP,DMQA Holdings,Cash,17/04/2007,01/05/2007,Value,,,,,"£2,500.00"
Alan Johnson MP,Dr Reg Race,Cash,08/02/2007,01/03/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,Hull City Council,Visit,21/09/2011,16/11/2011,Value,Iceland,,,Trade mission.,"£2,000.00"
Alan Johnson MP,Lord David Sainsbury,Cash,02/04/2007,01/05/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,Lord Kumar Bhattacharyya,Cash,07/03/2007,01/04/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,MKM Building Supplies Ltd,Cash,03/04/2007,01/05/2007,Value,,,,,"£2,500.00"
Alan Johnson MP,Mr Ahmed Yar-Mohammed,Cash,28/03/2007,01/04/2007,Value,,,,,"£3,334.00"
Alan Johnson MP,Mr Andrew Hood,Cash,08/05/2007,01/06/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,Mr Faiz Rasool,Cash,24/05/2007,01/06/2007,Value,,,,,"£3,000.00"
Alan Johnson MP,Mr Graham Cole,Cash,04/06/2007,01/07/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,Mr John Napier,Cash,18/06/2007,01/07/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,Mr John Reid,Cash,24/05/2007,01/06/2007,Value,,,,,"£2,000.00"
Alan Johnson MP,Mr Michael Cashman,Cash,31/05/2007,01/06/2007,Value,,,,,"£2,500.00"
Alan Johnson MP,Mr Mirza Beg,Impermissible Donor,,01/05/2008,Value,,,,,"£1,675.00"
Alan Johnson MP,Mr Sonny Leong,Cash,26/03/2007,01/04/2007,Value,,,,,"£2,000.00"
Alan Johnson MP,Mr Sonny Leong,Cash,31/05/2007,01/06/2007,Value,,,,,"£2,000.00"
Alan Johnson MP,Mr William Law,Cash,03/04/2007,01/05/2007,Value,,,,,"£5,000.00"
Alan Johnson MP,Ms Noel Harwerth,Impermissible Donor,,01/07/2007,Value,,,,,"£1,000.00"
Alan Johnson MP,Phonograhic Performance Ltd (PPL),Non Cash,29/01/2010,01/02/2010,Value,,Hospitality,,,"£1,540.00"
Alan Johnson MP,Songlines Ltd,Cash,20/06/2007,01/07/2007,Value,,,,,"£2,500.00"
Alan Johnson MP,Wykeland Group Ltd,Cash,01/05/2007,01/06/2007,Value,,,,,"£2,500.00"
Alan Mak MP," Wei Wu",Cash,04/05/2022,04/05/2022,Value,,,,,"£2,000.00"
Alan Mak MP," Yan Huo",Cash,28/03/2022,19/04/2022,Value,,,,,"£25,000.00"
Alan Mak MP," Yan Huo",Cash,18/04/2023,24/04/2023,Value,,,,,"£10,000.00"
Alan Mak MP,APPG on the Fourth Industrial Revolution,Visit,16/01/2019,17/01/2019,Value,San Francisco,,,"To plan cross-party trade & technology delegation, to take place in the Easter recess, on behalf of the All-Party Parliamentary Group, of which I am the Chair.","£1,618.22"
Alan Mak MP,APPG on the Fourth Industrial Revolution,Visit,15/04/2019,02/05/2019,Value,San Francisco,,,"Lead cross-party trade & technology delegation with the All-Party Parliamentary Group, of which I am the Chair.Donor: APPG on the Fourth Industrial Revolution (with sponsorship from Boston Consulting Group, Braintree, Oracle, RBS, BP, Vodafone, Lockheed Ma","£4,828.59"
Alan Mak MP,Conservative Friends of Israel,Visit,30/08/2015,28/09/2015,Value,Israel and the West Bank,,,Fact finding political delegation to Israel & West Bank.,"£2,000.00"
Alan Mak MP,Conservative Friends of Israel,Visit,27/05/2018,11/06/2018,Value,Israel,,,Strengthen trade relations between the UK and Israel; to promote Havant as an investment destination for Israeli businesses; and to deepen MPs’ understanding of Israel and the wider region.,"£2,500.00"
Alan Mak MP,Falkland Islands Government,Visit,16/02/2017,09/03/2017,Value,Falkland Islands,,,Familiarisation,"£3,124.55"
Alan Mak MP,Harbour Hotels Holdings Limited,Cash,03/03/2021,15/03/2021,Value,,,,,"£2,000.00"
Alan Mak MP,Hong Kong Government,Visit,18/08/2016,07/09/2016,Value,Hong Kong,,,"MP visit to maintain bilateral ties; support Havant & British businesses operating in Hong Kong; and deepen knowledge of Hong Kong’s political, social and economic development.","£6,010.25"
Alan Mak MP,Nicolas James Ltd,Cash,28/03/2022,19/04/2022,Value,,,,,"£5,000.00"
Alan Mak MP,Polyseam Ltd,Cash,26/07/2019,26/07/2019,Value,,,,,"£2,500.00"
Alan Mak MP,Senator Press,Cash,22/09/2017,09/10/2017,Value,,,,,"£2,375.00"
Alan Mak MP,Senator Press,Cash,27/09/2019,09/10/2019,Value,,,,,"£2,737.00"
Alan Mak MP,Senator Press,Non Cash,19/10/2018,29/10/2018,Value,,Advertising,,,"£2,737.00"
Alan Mak MP,Senator Press,Non Cash,11/09/2020,29/09/2020,Value,,Advertising,,,"£2,760.00"
Alan Meale MP," John Meale",Non Cash,01/01/2012,02/08/2016,Value,,Premises,,,"£7,000.00"
Alan Meale MP,BAA Plc,Non Cash,14/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
Alan Milburn MP,Australian Labor Party,Visit,24/04/2006,01/05/2006,Value,Australia,,,Meetings with Australian Labour Party,"£2,970.00"
Alan Milburn MP,Australian Labor Party,Visit,09/02/2007,01/03/2007,Value,"Sydney, Australia",,,Meetings with Australian Labour Party,"£5,568.00"
Alan Milburn MP,Australian Labor Party,Visit,16/11/2007,01/12/2007,Value,Australia,,,Observe election.,"£11,739.13"
Alan Milburn MP,Japanese Government,Visit,27/11/2005,01/12/2005,Value,"Tokyo, Japan",,,Guest of the Japanese governement,"£6,646.00"
Alan Milburn MP,Office of Tony Blair: Africa Governance Initiative,Visit,18/09/2009,01/10/2009,Value,"Freetown, Sierra Leone",,,Meet with Government of Sierra Leone.,"£3,000.00"
Alan Milburn MP,South African Government,Visit,10/02/2006,01/03/2006,Value,"Pretoria, South Africa",,,Attend Progressive Governance roundtable,"£4,320.00"
Alan Milburn MP,The Global Foundation,Visit,24/04/2006,01/05/2006,Value,Australia,,,Speech to Global Foundation,"£2,970.00"
Alan Waltham,Conservative Friends of Israel,Visit,08/04/2018,01/05/2018,Value,Israel and West Bank,,,Fact finding political delegation.,"£2,500.00"
Alasdair McDonnell MP,Heron Brothers Ltd,Cash,24/11/2009,01/12/2009,Value,,,,,"£3,500.00"
Albert Owen MP,Horizon Nuclear Power Ltd,Visit,21/06/2014,24/07/2014,Value,Japan,,,"To visit industrial locations relating to proposed investment in my 
constituency.","£2,453.15"
Alberto Costa," Michael Fry",Non Cash,27/03/2022,14/04/2022,Value,,Consultancy services,,,"£7,500.00"
Alec Shelbrooke,Big Change Ltd,Cash,08/01/2020,09/01/2020,Value,,,,,"£2,000.00"
Alec Shelbrooke,Government of the Republic of China - Taiwan,Visit,30/03/2018,18/04/2018,Value,Taiwan,,,To attend meetings with the Taiwanese government.,"£3,240.00"
Alec Shelbrooke,HM Government of Gibraltar,Visit,08/09/2016,30/09/2016,Value,Gibraltar,,,To attend Gibraltar National Day celebrations,"£1,620.00"
Alex Burghart,Kingdom of Saudi Arabia Ministry of Foreign Affairs,Visit,24/09/2017,12/10/2017,Value,"Riyadh and Jeddah, Saudi Arabia",,,"To meet with HM King Salman Abdulaziz Ibn Saud, senior government officials and business leaders and the British diplomatic team in order to support and understand the British-Saudi bilateral relationship.","£7,800.00"
Alex Cunningham MP,Grand Central Railway Company Ltd,Non Cash,14/06/2010,01/07/2010,Value,,Travel,,,"£5,000.00"
Alex Davies-Jones,British Council,Visit,31/10/2022,25/11/2022,Value,"Tokyo, Japan",,,"To experience the work of the British Council across arts, education and the English language, in Japan - a strategic, non-ODA priority operation at the centre of the UK’s Indo-Pacific tilt.","£2,947.60"
Alex Davies-Jones,Children’s Investment Fund Foundation (CIFF),Visit,21/03/2023,28/03/2023,Value,Sierra Leone,,,To learn and witness first-hand the impact UK Aid has in communities in Sierra Leone.,"£2,862.88"
Alex Davies-Jones,Coalition for Global Prosperity (CGP),Visit,13/11/2023,29/11/2023,Value,"Washington DC, USA",,,"Delegation of Conservative and Labour MPs convened by CGP's 1946 Caucus, including discussions with US policymakers, officials and policy professionals to consider joint UK-US foreign policy challenges","£4,704.20"
Alex Davies-Jones,HM Government of Gibraltar,Visit,07/09/2023,13/09/2023,Value,Gibraltar,,,To attend a series of meetings and briefings as well as events to mark Gibraltar’s National Day.,"£1,718.00"
Alex Davies-Jones,Labour Friends of Israel,Visit,05/02/2023,16/02/2023,Value,Israel and the Palestinian Territories,,,"Fact-finding visit to Israel and the Palestinian Territories. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.","£2,300.00"
Alex Rowley MSP,Palmino Homes Ltd,Cash,21/07/2015,20/08/2015,Value,,,,,"£2,000.00"
Alex Rowley MSP,Unite,Cash,11/08/2015,20/08/2015,Value,,,,,"£5,000.00"
Alex Salmond MP,BAA Plc,Non Cash,31/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
Alex Salmond MP,Credit Suisse,Visit,21/04/2016,17/05/2016,Value,Singapore,,,invited to be the guest speaker at Global Megatrends Conference.,"£11,386.77"
Alex Salmond MP,Fundación Sabino Arana,Visit,30/01/2016,26/02/2016,Value,"Bilbao, Spain",,,attending the 2015 Sabino Arana Awards and launching the Basque language edition of my book.,"£1,600.00"
Alex Salmond MP,Harper Collins,Visit,04/04/2016,04/05/2016,Value,Toronto and New York,,,to take part in a number of book events to promote my book.,"£9,200.00"
Alex Sobel,Deakin University,Visit,14/08/2022,12/09/2022,Value,Melbourne,,,"Guest Speaking, roundtables, study visits and recording of teaching material.","£3,900.00"
Alex Sobel,"PICTFOR (APPG for Internet, Communications and Technology)",Visit,23/02/2019,05/04/2019,Value,Barcelona,,,"Delegate to World Mobile Congress on behalf of PICTFOR. Flights, accommodation, food, tickets and transport with a total value of £1,502.46","£1,502.46"
Alexander Stafford,Catholic Bishops' Conference England and Wales,Non Cash,10/10/2022,05/06/2023,Value,,Staff costs,,,"£14,336.10"
Alexander Stafford,CIFF (Children's Investment Fund Foundation),Visit,24/01/2023,14/02/2023,Value,Kenya,,,Cross party fact finding political delegation to see the impact UK Aid has in communities in Kenya during the current drought.,"£3,566.91"
Alexander Stafford,Conservative Friends of Israel (CFI Ltd),Visit,28/08/2022,13/09/2022,Value,Israel and the West Bank,,,Fact finding political delegation.,"£3,250.00"
Alexander Stewart MSP,Flight Path Travel,Visit,07/10/2023,08/11/2023,Value,Delhi India,,,The purpose of the visit was to engage with FinTech and Culture organisations and senior politicians within the Indian government.,"£2,429.96"
Alexander Stewart MSP,"Ministry of Foreign Affairs, Republic of China (Taiwan)",Visit,09/10/2016,24/10/2016,Value,Taiwan,,,"I met a number of Government departments, as well as trade and cultural organisations.","£6,000.00"
Alexandra Mayer,GMB,Non Cash,30/05/2013,03/06/2013,Value,,Administration services,,,"£11,692.00"
Alicia Kearns,Embassy of Finland in London,Visit,29/08/2023,13/09/2023,Value,Finland,,,"Study trip undertaken by a member of my staff to learn about comprehensive security, Finnish foreign and security policy, and Finland's accession to into NATO.","£1,500.00"
Alicia Kearns,Embassy of Finland in London,Visit,30/08/2023,13/09/2023,Value,Finland,,,"Study trip undertaken by a member of my staff to learn about Finland's foreign, defence and security policy ahead of their accession to NATO.","£1,500.00"
Alicia Kearns,HALO Trust,Exempt Trust,06/08/2023,13/09/2023,Value,,Travel,,,"£2,710.50"
Alicia Kearns,Kingdom of Bahrain Ministry of Foreign Affairs,Visit,18/11/2021,15/12/2021,Value,Bahrain,,,Parliamentary delegation to the IISS Manama Dialogue 2021 to understand the Middle East's most pressing security challenges.,"£5,349.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,30/01/2019,22/02/2019,Value,,Consultancy services,,,"£1,750.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,15/03/2019,22/03/2019,Value,,Consultancy services,,,"£1,750.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,01/04/2019,12/04/2019,Value,,Consultancy services,,,"£1,750.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,01/05/2019,09/05/2019,Value,,Consultancy services,,,"£2,125.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,01/06/2019,07/06/2019,Value,,Consultancy services,,,"£2,125.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,01/07/2019,22/08/2019,Value,,Consultancy services,,,"£2,125.00"
Alison McGovern MP,BM Creative Management Ltd,Non Cash,01/08/2019,14/09/2019,Value,,Consultancy services,,,"£2,125.00"
Alison McGovern MP,British-American Project,Visit,06/10/2022,01/11/2022,Value,"Minnesota, USA",,,Attendance at annual conference,"£1,776.34"
Alison McGovern MP,UK China Forum Ltd,Visit,16/11/2015,26/11/2015,Value,Beijing and Shanghai,,,"Cross-party Parliamentary visit to attend the 2015 UK-China Leadership Forum organised by the Great Britain China Centre, UK China Forum Ltd and the International Department of the ruling Chinese party, and supported by the Foreign and Commonwealth Office,","£2,677.09"
Alistair Burt MP,Australia Israel Cultural Exchange Limited (AICE),Visit,16/12/2016,10/01/2017,Value,Israel,,,Tripartite Australia Israel UK Leadership Dialogue conference.,"£2,000.00"
Alistair Burt MP,British University in Egypt,Visit,13/06/2014,15/07/2014,Value,"Cairo, Egypt",,,"To meet the new President, government ministers, religious leaders, British 
Council, IPU and representatives of civil society and discuss developments in the run up to 
parliamentary elections.","£3,300.00"
Alistair Burt MP,Kurdistan Regional Government,Visit,15/02/2014,17/03/2014,Value,Iraqi Kurdistan,,,"Kurdistan Region in Iraq APPG fact-finding trip to Erbil and Balisa village to meet ministers, civil society organizations and others.","£3,000.00"
Alistair Burt MP,Markham Services Ltd,Visit,25/05/2014,15/07/2014,Value,Oman and UAE,,,Business and political meetings with representatives of the respective foreign ministries.,"£5,000.00"
Alistair Burt MP,"Ministry of Foreign Affairs, Bahrain",Visit,04/12/2014,18/12/2014,Value,"Manama, Bahrain",,,To participate in the IISS Manama Dialogue.,"£2,600.00"
Alistair Burt MP,"Ministry of Foreign Affairs, Bahrain",Visit,09/12/2016,10/01/2017,Value,Bahrain,,,To participate in the IISS Manama Dialogue.,"£3,250.00"
Alistair Burt MP,The Doha Forum,Visit,11/05/2014,16/06/2014,Value,"Doha, Qatar",,,Speaker at the Doha Forum on Economic Prospects for the Middle East.,"£4,000.00"
Alistair Burt MP,United Arab Emirates Ministry of Foreign Affairs (MOFA),Visit,21/02/2014,17/03/2014,Value,UAE,,,Meetings and visits as Chair of the APPG UAE.,"£7,000.00"
Alistair Burt MP,United Arab Emirates Ministry of Foreign Affairs (MOFA),Visit,13/11/2014,18/12/2014,Value,"Abu Dhabi, United Arab Emirates",,,Attendance at the Sir BaniYas Forum 2014 at the invitation of MOFA.,"£7,000.00"
Alistair Burt MP,United Arab Emirates Ministry of Foreign Affairs (MOFA),Visit,12/11/2015,01/12/2015,Value,Abu Dhabi,,,Attendance at the Sir Bani Yas Forum 2015 at the invitation of MOFA.,"£8,000.00"
Alistair Burt MP,United Arab Emirates Ministry of Foreign Affairs (MOFA),Visit,01/04/2017,25/04/2017,Value,United Arab Emirates,,,"As part of the UAE APPG, to meet with Government Ministers, Members of the Federal National Council and senior business figures to build on the bilateral relationship and promote trade and investment ties","£3,500.00"
Alistair Burt MP,United Arab Emirates Ministry of Foreign Affairs (MOFA),Visit,03/11/2017,30/11/2017,Value,"Abu Dhabi, United Arab Emirates",,,Attendance at the Sir BaniYas Forum 2017 at the invitation of the MOFA.,"£10,000.00"
Alistair Carmichael MP,Amnesty International,Visit,27/03/2009,01/04/2009,Value,"Tokyo, Japan",,,As Chair of APPG for Abolition of death penalty.,"£1,001.00"
Alistair Carmichael MP,Amnesty International,Visit,30/09/2009,01/10/2009,Value,"Washington DC and Georgia, USA",,,Assisted AI in meetings with US parliamentarians.,"£1,500.00"
Alistair Carmichael MP,British Embassy,Visit,25/03/2009,01/04/2009,Value,"Seoul, South Korea",,,As Chair of APPG for Abolition of death penalty.,"£4,983.00"
Alistair Carmichael MP,C & C Alpha Group,Visit,11/10/2019,13/12/2019,Value,Dubai,,,to participate in and address conference of C&C Alpha Group senior management.,"£4,400.00"
Alistair Carmichael MP,Government of Norway,Visit,24/09/2008,01/10/2008,Value,"Oslo and Stavanger, Norway",,,To meet the all-party British-Norwegian group,"£1,285.00"
Alistair Carmichael MP,Joseph Rowntree Reform Trust Ltd,Cash,19/02/2016,18/03/2016,Value,,,,,"£34,000.00"
Alistair Carmichael MP,Joseph Rowntree Reform Trust Ltd,Cash,24/03/2016,04/04/2016,Value,,,,,"£16,000.00"
Alistair Carmichael MP,Kuwait National Assembly,Visit,06/11/2018,29/11/2018,Value,Kuwait,,,APPG on Kuwait delegation to visit the Kuwait Parliament and to gain a better understanding of the important Kuwait/UK bilateral relationship.,"£3,800.00"
Alistair Carmichael MP,"Ministry of Foreign Affairs, Qatar",Visit,16/02/2016,18/03/2016,Value,"Doha, Qatar",,,"As part of All-Party Parliamentary British-Qatar Group, to meet Ministers and officials, to visit proposed World Cup sites and to discuss labour conditions and regional issues.","£6,550.00"
Alistair Carmichael MP,"Ministry of Foreign Affairs, Qatar",Visit,14/02/2017,08/03/2017,Value,Qatar,,,"British-Qatar APPG visit to meet Ministers and officials, visit proposed World Cup sites and discuss bilateral relations and regional issues.","£5,100.00"
Alistair Carmichael MP,"Ministry of Foreign Affairs, Qatar",Visit,16/02/2020,17/03/2020,Value,Qatar,,,"British-Qatar APPG visit to meet Ministers and officials, discuss the Gulf Cooperation Council crisis, Workers’ rights, bilateral relations and regional issues.","£3,425.00"
Alistair Carmichael MP,Open Society Foundation,Visit,28/02/2019,08/04/2019,Value,Japan,,,"Invited by the Japanese Federal Bar Association (JFBA) and to meet with government ministers, officials and MPs to discuss the abolition of the death penalty. Contribution towards flights, accommodation, sustenance and incidental expenses, total value £1,9","£1,985.31"
Alistair Carmichael MP,The Welfare Association UK,Visit,07/09/2007,01/10/2007,Value,Palestine,,,Visiting Welfare Association projects.,"£1,100.00"
Alistair Carmichael MP,VSO UK,Visit,18/08/2013,24/09/2013,Value,Cameroon,,,Participation in VSO political volunteer scheme,"£5,090.04"
Alistair Darling MP,International Monetary Fund,Visit,07/04/2014,22/04/2014,Value,Washington DC,,,To attend meeting of the IMF on 8 April 2014.,"£7,312.42"
Alok Sharma MP,All Party Parliamentary China Group,Visit,18/05/2013,10/06/2013,Value,"Beijing & Chengdu, China",,,APPG China delegation to visit Beijing and Chengdu.,"£1,730.41"
